,zip_code,date,desc,temperature,snow,windspeed,visibility,humidity,precipitation
0,19148,2009-09-01,Sunny,71,0.0,9,6,58,0.0
1,19148,2009-09-02,Sunny,73,0.0,9,6,63,0.0
2,19148,2009-09-03,Sunny,74,0.0,10,6,64,0.0
3,19148,2009-09-04,Partly cloudy,71,0.0,6,6,69,0.0
4,19148,2009-09-05,Sunny,81,0.0,5,6,52,0.0
5,19148,2009-09-06,Partly cloudy,67,0.0,10,6,93,0.0
6,19148,2009-09-07,Sunny,73,0.0,9,6,75,0.0
7,19148,2009-09-08,Partly cloudy,69,0.0,5,6,83,0.0
8,19148,2009-09-09,Patchy light drizzle,65,0.0,9,3,96,0.0
9,19148,2009-09-10,Partly cloudy,60,0.0,17,6,93,0.0
10,19148,2009-09-11,Light rain,66,0.0,17,5,97,0.0
11,19148,2009-09-12,Light drizzle,65,0.0,4,1,97,0.0
12,19148,2009-09-13,Sunny,76,0.0,10,6,64,0.0
13,19148,2009-09-14,Sunny,76,0.0,9,6,67,0.0
14,19148,2009-09-15,Partly cloudy,78,0.0,6,6,66,0.0
15,19148,2009-09-16,Light rain shower,64,0.0,13,6,96,0.0
16,19148,2009-09-17,Patchy light drizzle,60,0.0,8,3,84,0.0
17,19148,2009-09-18,Partly cloudy,73,0.0,13,6,71,0.0
18,19148,2009-09-19,Sunny,67,0.0,2,6,53,0.0
19,19148,2009-09-20,Sunny,69,0.0,8,6,61,0.0
20,19148,2009-09-21,Partly cloudy,72,0.0,13,6,75,0.0
21,19148,2009-09-22,Partly cloudy,72,0.0,8,6,82,0.0
22,19148,2009-09-23,Sunny,80,0.0,13,6,73,0.0
23,19148,2009-09-24,Partly cloudy,80,0.0,9,6,66,0.0
24,19148,2009-09-25,Sunny,69,0.0,13,6,61,0.0
25,19148,2009-09-26,Cloudy,60,0.0,10,6,78,0.0
26,19148,2009-09-27,Light rain shower,69,0.0,16,6,90,0.0
27,19148,2009-09-28,Patchy light rain,66,0.0,12,5,91,0.0
28,19148,2009-09-29,Partly cloudy,63,0.0,18,6,67,0.0
29,19148,2009-09-30,Partly cloudy,60,0.0,15,6,64,0.0
30,19148,2009-10-01,Partly cloudy,57,0.0,10,6,59,0.0
31,19148,2009-10-02,Partly cloudy,64,0.0,17,6,78,0.0
32,19148,2009-10-03,Patchy rain possible,70,0.0,8,5,85,0.0
33,19148,2009-10-04,Sunny,67,0.0,14,6,63,0.0
34,19148,2009-10-05,Sunny,63,0.0,11,6,63,0.0
40,19148,2009-10-06,Sunny,63,0.0,9,6,65,0.0
41,19148,2009-10-07,Sunny,60,0.0,26,6,61,0.0
42,19148,2009-10-08,Partly cloudy,63,0.0,10,6,66,0.0
43,19148,2009-10-09,Partly cloudy,74,0.0,13,6,74,0.0
44,19148,2009-10-10,Partly cloudy,60,0.0,20,6,62,0.0
45,19148,2009-10-11,Sunny,61,0.0,9,6,62,0.0
46,19148,2009-10-12,Partly cloudy,52,0.0,3,6,69,0.0
47,19148,2009-10-13,Cloudy,60,0.0,19,6,66,0.0
48,19148,2009-10-14,Cloudy,50,0.0,1,6,69,0.0
49,19148,2009-10-15,Overcast,40,0.0,29,6,97,0.0
50,19148,2009-10-16,Overcast,41,0.0,19,6,95,0.0
51,19148,2009-10-17,Light drizzle,44,0.0,21,1,87,0.0
52,19148,2009-10-18,Cloudy,42,0.0,22,6,91,0.0
53,19148,2009-10-19,Sunny,52,0.0,8,6,65,0.0
54,19148,2009-10-20,Sunny,61,0.0,9,6,70,0.0
55,19148,2009-10-21,Sunny,67,0.0,9,6,68,0.0
56,19148,2009-10-22,Sunny,67,0.0,13,6,73,0.0
57,19148,2009-10-23,Overcast,56,0.0,26,6,88,0.0
58,19148,2009-10-24,Overcast,68,0.0,23,6,96,0.0
59,19148,2009-10-25,Partly cloudy,56,0.0,10,6,73,0.0
60,19148,2009-10-26,Partly cloudy,56,0.0,8,6,79,0.0
61,19148,2009-10-27,Overcast,56,0.0,13,6,97,0.0
62,19148,2009-10-28,Overcast,57,0.0,16,6,94,0.0
63,19148,2009-10-29,Partly cloudy,54,0.0,3,6,90,0.0
64,19148,2009-10-30,Cloudy,57,0.0,12,6,82,0.0
65,19148,2009-10-31,Light drizzle,67,0.0,30,1,93,0.0
66,19148,2009-11-01,Sunny,51,0.0,10,6,85,0.0
67,19148,2009-11-02,Partly cloudy,53,0.0,10,6,83,0.0
68,19148,2009-11-03,Partly cloudy,56,0.0,15,6,76,0.0
69,19148,2009-11-04,Partly cloudy,48,0.0,6,6,67,0.0
74,19148,2009-11-05,Cloudy,50,0.0,12,6,71,0.0
75,19148,2009-11-06,Sunny,45,0.0,12,6,68,0.0
76,19148,2009-11-07,Sunny,48,0.0,14,6,72,0.0
77,19148,2009-11-08,Sunny,60,0.0,5,6,86,0.0
78,19148,2009-11-09,Sunny,60,0.0,11,6,85,0.0
79,19148,2009-11-10,Partly cloudy,60,0.0,6,6,91,0.0
80,19148,2009-11-11,Light rain,48,0.0,19,5,92,0.1
81,19148,2009-11-12,Light drizzle,46,0.0,35,1,94,0.0
82,19148,2009-11-13,Overcast,51,0.0,36,6,94,0.0
83,19148,2009-11-14,Overcast,55,0.0,14,6,95,0.0
84,19148,2009-11-15,Partly cloudy,63,0.0,8,6,89,0.0
85,19148,2009-11-16,Sunny,55,0.0,11,6,71,0.0
86,19148,2009-11-17,Sunny,48,0.0,8,6,68,0.0
87,19148,2009-11-18,Overcast,52,0.0,13,6,89,0.0
88,19148,2009-11-19,Cloudy,59,0.0,12,6,93,0.0
89,19148,2009-11-20,Sunny,52,0.0,10,6,73,0.0
90,19148,2009-11-21,Sunny,51,0.0,8,6,80,0.0
91,19148,2009-11-22,Sunny,50,0.0,9,6,78,0.0
92,19148,2009-11-23,Light rain,47,0.0,19,5,93,0.0
93,19148,2009-11-24,Light drizzle,50,0.0,9,1,97,0.0
94,19148,2009-11-25,Light drizzle,51,0.0,7,1,98,0.0
95,19148,2009-11-26,Mist,51,0.0,6,1,94,0.0
96,19148,2009-11-27,Overcast,42,0.0,28,6,82,0.0
97,19148,2009-11-28,Sunny,45,0.0,22,6,71,0.0
98,19148,2009-11-29,Sunny,53,0.0,14,6,78,0.0
99,19148,2009-11-30,Overcast,46,0.0,21,6,92,0.0
100,19148,2009-12-01,Sunny,44,0.0,8,6,77,0.0
101,19148,2009-12-02,Light rain,48,0.0,13,5,94,0.0
102,19148,2009-12-03,Sunny,52,0.0,27,6,74,0.0
103,19148,2009-12-04,Sunny,46,0.0,7,6,71,0.0
104,19148,2009-12-05,Light rain,34,0.0,24,5,97,0.0
110,19148,2009-12-06,Sunny,34,0.0,10,6,79,0.0
111,19148,2009-12-07,Partly cloudy,37,0.0,4,6,76,0.0
112,19148,2009-12-08,Partly cloudy,36,0.0,5,6,77,0.0
113,19148,2009-12-09,Cloudy,53,0.0,26,6,94,0.0
114,19148,2009-12-10,Partly cloudy,35,0.0,26,6,64,0.0
115,19148,2009-12-11,Sunny,31,0.0,26,6,32,0.0
116,19148,2009-12-12,Sunny,31,0.0,5,6,56,0.0
117,19148,2009-12-13,Moderate rain,49,0.0,30,4,97,0.2
118,19148,2009-12-14,Partly cloudy,42,0.0,12,6,86,0.0
119,19148,2009-12-15,Sunny,49,0.0,15,6,84,0.0
120,19148,2009-12-16,Sunny,33,0.0,22,6,57,0.0
121,19148,2009-12-17,Partly cloudy,32,0.0,17,6,46,0.0
122,19148,2009-12-18,Partly cloudy,29,0.0,5,6,38,0.0
123,19148,2009-12-19,Overcast,23,0.4,32,6,97,0.0
124,19148,2009-12-20,Partly cloudy,28,0.0,20,6,93,0.0
125,19148,2009-12-21,Sunny,30,0.0,18,6,95,0.0
126,19148,2009-12-22,Cloudy,31,0.0,15,6,95,0.0
127,19148,2009-12-23,Sunny,24,0.0,13,6,94,0.0
128,19148,2009-12-24,Mist,25,0.0,5,1,96,0.0
129,19148,2009-12-25,Light rain,37,0.0,21,5,100,0.1
130,19148,2009-12-26,Light drizzle,51,0.0,28,1,96,0.0
131,19148,2009-12-27,Sunny,43,0.0,9,6,73,0.0
132,19148,2009-12-28,Partly cloudy,32,0.0,27,6,61,0.0
133,19148,2009-12-29,Sunny,24,0.0,32,6,33,0.0
134,19148,2009-12-30,Partly cloudy,29,0.0,9,6,44,0.0
135,19148,2009-12-31,Mist,33,0.0,4,1,95,0.0
136,19148,2010-01-01,Overcast,36,0.2,13,6,96,0.0
137,19148,2010-01-02,Partly cloudy,23,0.0,35,6,64,0.0
138,19148,2010-01-03,Blizzard,24,0.0,38,0,63,0.0
139,19148,2010-01-04,Light snow,27,0.1,21,6,73,0.0
140,19148,2010-09-01,Sunny,90,0.0,12,6,45,0.0
141,19148,2010-09-02,Sunny,87,0.0,15,6,55,0.0
142,19148,2010-09-03,Sunny,80,0.0,15,6,60,0.0
143,19148,2010-09-04,Partly cloudy,74,0.0,21,6,49,0.0
144,19148,2010-09-05,Sunny,72,0.0,10,6,41,0.0
145,19148,2010-09-06,Sunny,76,0.0,13,6,51,0.0
146,19148,2010-09-07,Sunny,83,0.0,16,6,54,0.0
147,19148,2010-09-08,Sunny,82,0.0,16,6,38,0.0
148,19148,2010-09-09,Partly cloudy,68,0.0,21,6,53,0.0
149,19148,2010-09-10,Cloudy,70,0.0,13,6,56,0.0
150,19148,2010-09-11,Sunny,75,0.0,6,6,45,0.0
151,19148,2010-09-12,Cloudy,65,0.0,3,6,89,0.0
152,19148,2010-09-13,Partly cloudy,75,0.0,10,6,57,0.0
153,19148,2010-09-14,Sunny,74,0.0,14,6,46,0.0
154,19148,2010-09-15,Sunny,73,0.0,10,6,45,0.0
155,19148,2010-09-16,Light rain shower,76,0.0,12,6,83,0.1
156,19148,2010-09-17,Sunny,73,0.0,12,6,58,0.0
157,19148,2010-09-18,Partly cloudy,71,0.0,6,6,66,0.0
158,19148,2010-09-19,Partly cloudy,75,0.0,6,6,60,0.0
159,19148,2010-09-20,Sunny,70,0.0,13,6,46,0.0
160,19148,2010-09-21,Sunny,70,0.0,13,6,58,0.0
161,19148,2010-09-22,Sunny,84,0.0,12,6,65,0.0
162,19148,2010-09-23,Sunny,80,0.0,10,6,67,0.0
163,19148,2010-09-24,Sunny,85,0.0,15,6,66,0.0
164,19148,2010-09-25,Sunny,82,0.0,10,6,50,0.0
165,19148,2010-09-26,Partly cloudy,69,0.0,11,6,67,0.0
166,19148,2010-09-27,Overcast,72,0.0,15,6,97,0.0
167,19148,2010-09-28,Partly cloudy,77,0.0,15,6,79,0.0
168,19148,2010-09-29,Partly cloudy,73,0.0,4,6,61,0.0
169,19148,2010-09-30,Moderate or heavy rain shower,75,0.0,28,4,96,0.1
170,19148,2010-10-01,Sunny,65,0.0,19,6,73,0.0
171,19148,2010-10-02,Sunny,63,0.0,6,6,63,0.0
172,19148,2010-10-03,Cloudy,58,0.0,17,6,79,0.0
173,19148,2010-10-04,Overcast,49,0.0,19,6,97,0.0
174,19148,2010-10-05,Partly cloudy,54,0.0,12,6,87,0.0
180,19148,2010-10-06,Cloudy,57,0.0,13,6,78,0.0
181,19148,2010-10-07,Sunny,64,0.0,16,6,78,0.0
182,19148,2010-10-08,Sunny,66,0.0,13,6,70,0.0
183,19148,2010-10-09,Sunny,69,0.0,13,6,69,0.0
184,19148,2010-10-10,Sunny,65,0.0,12,6,70,0.0
185,19148,2010-10-11,Sunny,75,0.0,7,6,73,0.0
186,19148,2010-10-12,Sunny,67,0.0,12,6,82,0.0
187,19148,2010-10-13,Sunny,62,0.0,4,6,63,0.0
188,19148,2010-10-14,Moderate rain,52,0.0,10,4,98,0.2
189,19148,2010-10-15,Sunny,56,0.0,19,6,64,0.0
190,19148,2010-10-16,Sunny,57,0.0,15,6,66,0.0
191,19148,2010-10-17,Sunny,64,0.0,12,6,71,0.0
192,19148,2010-10-18,Partly cloudy,58,0.0,9,6,66,0.0
193,19148,2010-10-19,Partly cloudy,56,0.0,9,6,77,0.0
194,19148,2010-10-20,Sunny,56,0.0,8,6,80,0.0
195,19148,2010-10-21,Sunny,56,0.0,15,6,63,0.0
196,19148,2010-10-22,Sunny,50,0.0,14,6,62,0.0
197,19148,2010-10-23,Sunny,59,0.0,12,6,72,0.0
198,19148,2010-10-24,Partly cloudy,65,0.0,8,6,82,0.0
199,19148,2010-10-25,Partly cloudy,69,0.0,18,6,86,0.0
200,19148,2010-10-26,Overcast,67,0.0,13,6,94,0.0
201,19148,2010-10-27,Cloudy,73,0.0,15,6,94,0.0
202,19148,2010-10-28,Sunny,59,0.0,12,6,85,0.0
203,19148,2010-10-29,Partly cloudy,50,0.0,19,6,63,0.0
204,19148,2010-10-30,Sunny,51,0.0,15,6,67,0.0
205,19148,2010-10-31,Partly cloudy,52,0.0,17,6,64,0.0
206,19148,2010-11-01,Sunny,46,0.0,9,6,61,0.0
207,19148,2010-11-02,Sunny,46,0.0,1,6,65,0.0
208,19148,2010-11-03,Sunny,50,0.0,10,6,73,0.0
209,19148,2010-11-04,Light rain,45,0.0,12,5,96,0.1
214,19148,2010-11-05,Sunny,49,0.0,10,6,78,0.0
215,19148,2010-11-06,Overcast,47,0.0,13,6,70,0.0
216,19148,2010-11-07,Partly cloudy,44,0.0,18,6,63,0.0
217,19148,2010-11-08,Patchy light drizzle,46,0.0,21,3,78,0.0
218,19148,2010-11-09,Sunny,52,0.0,14,6,80,0.0
219,19148,2010-11-10,Sunny,45,0.0,11,6,95,0.0
220,19148,2010-11-11,Sunny,50,0.0,8,6,68,0.0
221,19148,2010-11-12,Sunny,51,0.0,9,6,59,0.0
222,19148,2010-11-13,Sunny,53,0.0,5,6,63,0.0
223,19148,2010-11-14,Sunny,55,0.0,10,6,83,0.0
224,19148,2010-11-15,Partly cloudy,54,0.0,1,6,86,0.0
225,19148,2010-11-16,Light rain,53,0.0,16,5,97,0.1
226,19148,2010-11-17,Partly cloudy,52,0.0,23,6,70,0.0
227,19148,2010-11-18,Sunny,50,0.0,11,6,78,0.0
228,19148,2010-11-19,Sunny,44,0.0,10,6,69,0.0
229,19148,2010-11-20,Partly cloudy,49,0.0,13,6,79,0.0
230,19148,2010-11-21,Sunny,46,0.0,10,6,77,0.0
231,19148,2010-11-22,Sunny,56,0.0,12,6,94,0.0
232,19148,2010-11-23,Cloudy,59,0.0,15,6,90,0.0
233,19148,2010-11-24,Sunny,44,0.0,13,6,60,0.0
234,19148,2010-11-25,Light rain,37,0.0,7,5,94,0.0
235,19148,2010-11-26,Sunny,43,0.0,23,6,67,0.0
236,19148,2010-11-27,Sunny,38,0.0,19,6,59,0.0
237,19148,2010-11-28,Sunny,39,0.0,6,6,69,0.0
238,19148,2010-11-29,Sunny,41,0.0,10,6,76,0.0
239,19148,2010-11-30,Patchy light drizzle,54,0.0,19,3,94,0.0
240,19148,2010-12-01,Overcast,40,0.0,27,6,83,0.0
241,19148,2010-12-02,Sunny,36,0.0,11,6,64,0.0
242,19148,2010-12-03,Partly cloudy,36,0.0,13,6,61,0.0
243,19148,2010-12-04,Partly cloudy,36,0.0,15,6,58,0.0
244,19148,2010-12-05,Partly cloudy,34,0.0,23,6,51,0.0
250,19148,2010-12-06,Cloudy,33,0.0,24,6,64,0.0
251,19148,2010-12-07,Cloudy,32,0.0,22,6,59,0.0
252,19148,2010-12-08,Partly cloudy,31,0.0,17,6,47,0.0
253,19148,2010-12-09,Sunny,29,0.0,14,6,45,0.0
254,19148,2010-12-10,Partly cloudy,33,0.0,9,6,67,0.0
255,19148,2010-12-11,Partly cloudy,35,0.0,7,6,74,0.0
256,19148,2010-12-12,Overcast,47,0.0,14,6,98,0.0
257,19148,2010-12-13,Cloudy,29,0.0,32,6,79,0.0
258,19148,2010-12-14,Patchy light snow,25,0.0,31,6,40,0.0
259,19148,2010-12-15,Partly cloudy,27,0.0,22,6,44,0.0
260,19148,2010-12-16,Patchy moderate snow,26,0.1,9,4,61,0.0
261,19148,2010-12-17,Sunny,31,0.0,14,6,58,0.0
262,19148,2010-12-18,Partly cloudy,30,0.0,7,6,78,0.0
263,19148,2010-12-19,Sunny,30,0.0,13,6,80,0.0
264,19148,2010-12-20,Sunny,30,0.0,22,6,71,0.0
265,19148,2010-12-21,Sunny,32,0.0,23,6,65,0.0
266,19148,2010-12-22,Partly cloudy,33,0.0,19,6,61,0.0
267,19148,2010-12-23,Partly cloudy,32,0.0,29,6,60,0.0
268,19148,2010-12-24,Sunny,32,0.0,18,6,59,0.0
269,19148,2010-12-25,Partly cloudy,30,0.0,7,6,56,0.0
270,19148,2010-12-26,Overcast,26,0.0,28,6,96,0.0
271,19148,2010-12-27,Sunny,22,0.0,29,6,88,0.0
272,19148,2010-12-28,Partly cloudy,27,0.0,19,6,94,0.0
273,19148,2010-12-29,Mist,30,0.0,10,1,97,0.0
274,19148,2010-12-30,Mist,30,0.0,5,1,97,0.0
275,19148,2010-12-31,Fog,35,0.0,10,0,99,0.0
276,19148,2011-01-01,Overcast,43,0.0,18,6,100,0.0
277,19148,2011-01-02,Cloudy,39,0.0,18,6,95,0.0
278,19148,2011-01-03,Sunny,33,0.0,15,6,54,0.0
279,19148,2011-01-04,Sunny,35,0.0,13,6,67,0.0
280,19148,2011-09-01,Sunny,76,0.0,12,6,65,0.0
281,19148,2011-09-02,Partly cloudy,75,0.0,8,6,68,0.0
282,19148,2011-09-03,Sunny,79,0.0,12,6,77,0.0
283,19148,2011-09-04,Partly cloudy,82,0.0,15,6,78,0.0
284,19148,2011-09-05,Light rain shower,79,0.0,16,6,79,0.0
285,19148,2011-09-06,Light drizzle,61,0.0,18,1,95,0.0
286,19148,2011-09-07,Partly cloudy,79,0.0,15,6,86,0.0
287,19148,2011-09-08,Light rain shower,74,0.0,9,6,94,0.1
288,19148,2011-09-09,Partly cloudy,80,0.0,9,6,79,0.0
289,19148,2011-09-10,Sunny,78,0.0,6,6,75,0.0
290,19148,2011-09-11,Light rain shower,73,0.0,5,6,85,0.1
291,19148,2011-09-12,Sunny,77,0.0,8,6,68,0.0
292,19148,2011-09-13,Sunny,78,0.0,12,6,69,0.0
293,19148,2011-09-14,Sunny,82,0.0,10,6,67,0.0
294,19148,2011-09-15,Sunny,66,0.0,26,6,73,0.0
295,19148,2011-09-16,Sunny,61,0.0,6,6,66,0.0
296,19148,2011-09-17,Sunny,59,0.0,10,6,87,0.0
297,19148,2011-09-18,Sunny,65,0.0,13,6,74,0.0
298,19148,2011-09-19,Sunny,66,0.0,10,6,71,0.0
299,19148,2011-09-20,Overcast,70,0.0,7,6,84,0.0
300,19148,2011-09-21,Patchy rain possible,73,0.0,12,5,83,0.0
301,19148,2011-09-22,Partly cloudy,76,0.0,10,6,84,0.0
302,19148,2011-09-23,Moderate rain,71,0.0,14,4,98,0.2
303,19148,2011-09-24,Partly cloudy,73,0.0,4,6,85,0.0
304,19148,2011-09-25,Sunny,75,0.0,7,6,86,0.0
305,19148,2011-09-26,Patchy rain possible,77,0.0,10,5,84,0.0
306,19148,2011-09-27,Light rain shower,76,0.0,15,6,85,0.0
307,19148,2011-09-28,Cloudy,75,0.0,17,6,87,0.0
308,19148,2011-09-29,Sunny,69,0.0,18,6,82,0.0
309,19148,2011-09-30,Partly cloudy,72,0.0,4,6,72,0.0
310,19148,2011-10-01,Sunny,63,0.0,10,6,78,0.0
311,19148,2011-10-02,Partly cloudy,53,0.0,15,6,82,0.0
312,19148,2011-10-03,Partly cloudy,55,0.0,3,6,73,0.0
313,19148,2011-10-04,Sunny,63,0.0,14,6,76,0.0
314,19148,2011-10-05,Sunny,66,0.0,15,6,68,0.0
320,19148,2011-10-06,Sunny,63,0.0,10,6,65,0.0
321,19148,2011-10-07,Sunny,65,0.0,3,6,65,0.0
322,19148,2011-10-08,Sunny,69,0.0,8,6,67,0.0
323,19148,2011-10-09,Sunny,75,0.0,8,6,62,0.0
324,19148,2011-10-10,Partly cloudy,76,0.0,3,6,65,0.0
325,19148,2011-10-11,Cloudy,68,0.0,11,6,82,0.0
326,19148,2011-10-12,Overcast,60,0.0,22,6,94,0.0
327,19148,2011-10-13,Overcast,67,0.0,13,6,94,0.0
328,19148,2011-10-14,Partly cloudy,63,0.0,26,6,88,0.0
329,19148,2011-10-15,Sunny,61,0.0,22,6,67,0.0
330,19148,2011-10-16,Sunny,62,0.0,14,6,70,0.0
331,19148,2011-10-17,Sunny,61,0.0,12,6,63,0.0
332,19148,2011-10-18,Sunny,66,0.0,8,6,59,0.0
333,19148,2011-10-19,Overcast,64,0.0,19,6,98,0.0
334,19148,2011-10-20,Partly cloudy,57,0.0,20,6,72,0.0
335,19148,2011-10-21,Sunny,54,0.0,14,6,69,0.0
336,19148,2011-10-22,Partly cloudy,54,0.0,13,6,70,0.0
337,19148,2011-10-23,Partly cloudy,58,0.0,3,6,69,0.0
